,source_url,Rank,Name,Market Capitalisation,Price,Circulating Supply,Ticker,24 h change
62,https://coinmarketcap.com/historical/20130506/,5,Freicoin,"$1,491,232.46",$0.07288,"20,460,718",FRC,-18.43%
63,https://coinmarketcap.com/historical/20130506/,6,Feathercoin,"$1,166,240.12",$0.1797,"6,490,650",FTC,-46.24%
64,https://coinmarketcap.com/historical/20130506/,7,Terracoin,"$1,052,199.43",$0.4346,"2,421,070",TRC,-22.87%
65,https://coinmarketcap.com/historical/20130506/,8,Devcoin,"$921,876.90",$0.0002089,"4,413,470,208",DVC,-13.40%
66,https://coinmarketcap.com/historical/20130506/,9,Novacoin,"$903,417.33",$3.28,"275,691",NVC,-11.03%
67,https://coinmarketcap.com/historical/20130506/,10,Mincoin,"$216,880.39",$0.2111,"1,027,265",MNC,81.85%
68,https://coinmarketcap.com/historical/20130507/,1,Bitcoin,"$1,240,593,600.00",$111.50,"11,126,400",BTC,0.10%
69,https://coinmarketcap.com/historical/20130507/,2,Litecoin,"$58,051,179.02",$3.33,"17,418,480",LTC,-0.36%
70,https://coinmarketcap.com/historical/20130507/,3,Namecoin,"$5,248,949.19",$0.9578,"5,480,300",NMC,-3.08%
71,https://coinmarketcap.com/historical/20130507/,4,Peercoin,"$4,644,000.74",$0.2464,"18,846,258",PPC,1.29%
72,https://coinmarketcap.com/historical/20130507/,5,Feathercoin,"$1,428,566.46",$0.2197,"6,503,650",FTC,14.90%
73,https://coinmarketcap.com/historical/20130507/,6,Freicoin,"$1,388,722.91",$0.0669,"20,758,190",FRC,-3.17%
74,https://coinmarketcap.com/historical/20130507/,7,Terracoin,"$1,069,715.38",$0.4393,"2,434,990",TRC,2.04%
75,https://coinmarketcap.com/historical/20130507/,8,Devcoin,"$916,750.91",$0.0002074,"4,420,420,096",DVC,-1.40%
76,https://coinmarketcap.com/historical/20130507/,9,Novacoin,"$908,855.92",$3.29,"276,124",NVC,1.68%
77,https://coinmarketcap.com/historical/20130507/,10,Mincoin,"$218,272.74",$0.2119,"1,030,317",MNC,-1.04%
